gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_up	significant_down
SNHG23	3.0689585020932233	0.8532207436867776	0.23266970412506655	3.6670899930665115	2.4532647286647945e-4	8.722044319980693e-4	TRUE	TRUE	FALSE
SNHG25	2.465521244900061	-0.569967541195053	0.24510253602159424	-2.3254249035792807	0.020049251128861446	0.04384501782088103	FALSE	FALSE	FALSE
SNHG3	9.984306809392862	-0.5624572972232742	0.13240100643327907	-4.248134605432276	2.1555787182542375e-5	9.583562419477414e-5	FALSE	FALSE	FALSE
SNHG4	8.371439978296	-0.4675096776753557	0.15877680587774934	-2.9444456644084154	0.0032353374998153267	0.008820112164180844	FALSE	FALSE	FALSE
SNHG5	13.758087408853017	0.6191556986974314	0.1055129770921646	5.8680525918305255	4.409434012722671e-9	3.777385916664411e-8	TRUE	TRUE	FALSE
SNHG6	1.6173591920166581	0.31614437541978585	0.3056598818037442	1.0343011767006225	0.3009953869390401	0.4215657291556666	FALSE	FALSE	FALSE
SNHG7	8.090499703125074	-0.31227353898475035	0.13751468699597869	-2.270837725092463	0.02315680328340817	0.04954452102691449	FALSE	FALSE	FALSE
SNHG8	5.259491087520312	-0.13068026380689823	0.1687996592679673	-0.7741737416628607	0.4388280541972699	0.5697228338463501	FALSE	FALSE	FALSE
SNIP1	25.862082915388207	0.05766854037049791	0.07407204532092147	0.778546617966948	0.43624683523802466	0.5673289107987711	FALSE	FALSE	FALSE
SNN	5.479067124670255	-0.31277630004521384	0.16383011724442914	-1.9091501935420208	0.05624271926333249	0.1059591978426459	FALSE	FALSE	FALSE
SNORA11	13.44732441938959	0.5679053161614803	0.11479736033754193	4.947024169298425	7.535662298541425e-7	4.3903689621978095e-6	FALSE	FALSE	FALSE
SNORA12	102.52571053899581	0.47627594864493067	0.08113065413838982	5.87048081521093	4.34533065442835e-9	3.729886412337004e-8	FALSE	FALSE	FALSE
SNORA13	29.77380727475313	0.5908644476930187	0.124661767061058	4.739740672885053	2.139919206636522e-6	1.1540565533663046e-5	TRUE	TRUE	FALSE
SNORA14A	14.370421896826173	0.930109802690862	0.12407695345251822	7.4962334004017634	6.567779909523389e-14	1.1921046179501383e-12	TRUE	TRUE	FALSE
SNORA14B	41.37774410310457	0.8522271763835828	0.09682438321153061	8.801782651398216	1.3465979052953486e-18	4.732863273994827e-17	TRUE	TRUE	FALSE
SNORA16B	8.535077408745659	0.6541849867658263	0.13643134658816444	4.7949756645044905	1.6269458010615592e-6	8.937416441578607e-6	TRUE	TRUE	FALSE
SNORA19	4.646638423236447	0.41270084974458754	0.1787598376966445	2.3086888814753848	0.020960851767563522	0.04550141575135074	FALSE	FALSE	FALSE
SNORA20	34.46893742776181	0.6168696403955016	0.08642582960510457	7.137561111233666	9.500139020311478e-13	1.4414119379761324e-11	TRUE	TRUE	FALSE
SNORA22	100.94808053945187	0.09807883479811065	0.0904395445510959	1.0844684732207908	0.2781571381086611	0.3955967747409799	FALSE	FALSE	FALSE
SNORA23	146.27849137811802	0.511232007817572	0.07043771342121533	7.257930205093692	3.930582607645396e-13	6.34340091997903e-12	FALSE	FALSE	FALSE
SNORA24	2.2634052661194906	0.16865240664551523	0.26122070832535904	0.6456318403189271	0.5185178117677309	0.6473960509119009	FALSE	FALSE	FALSE
SNORA26	32.3909826958364	0.4876848586360873	0.1063162938139923	4.587113048629457	4.494173536371262e-6	2.2740011470436552e-5	FALSE	FALSE	FALSE
SNORA28	26.48453055365489	0.6801637386180915	0.10343636528909558	6.5756732336552375	4.843351658188491e-11	5.736669130053383e-10	TRUE	TRUE	FALSE
SNORA2A	12.473980126223598	0.3599825230030867	0.12490656371058699	2.8820144619235477	0.003951415972184352	0.010516770490514128	FALSE	FALSE	FALSE
SNORA2B	7.460191328909483	0.4155946102013703	0.15217562039264854	2.7310196543246508	0.006313870613177036	0.015941912851388636	FALSE	FALSE	FALSE
