Regulator	BCa_MCF7_first	BCa_MCF7_resistant	BCa_MCF7_second	BCa_MCF7_ERmutant	PCa_LNCaP_first	PCa_LNCaP_resistant	PCa_LNCaP_second	BCa_NEO_new	BCa_NEO_new_LASSO	BCa_NEO_new_RF	Perv_NEO	Perv_DTP	BCa_NEO_new_ML	Selection_1	Selection_2	Selection_3
FOXN1	0.2669014253688807	0.30821287367558375	0.01985818392041707	-0.0167219154344615	0.1581713443632943	0.1908023577191781	0.05332879535523416	0.2506446300638442	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOXO1	1.1329994107507306	0.8660848020951878	0.4665632859542688	0.8854855945513094	0.5336040885782298	0.2421579345550409	-0.24154083282849448	87.55180878843098	0	0.00796037296037295	3.8635889977730598	4.662246212311572	TRUE	FALSE	TRUE	TRUE
FOXO3	0.6073411838975277	1.190296431622959	0.5797320224425669	6.490740239648348	1.0818896122719437	0.9628531357018671	-0.43063439971006007	13.281066850883127	0	-0.00222727272727272	0.7664735588910133	17.67372809825207	TRUE	TRUE	FALSE	TRUE
FOXO4	0.2796521137796885	0.09832945572464248	0.04752635886421277	0.08180136855947348	0.10868673646740828	0.21174885666842105	-0.02857775418340927	0.5028155169107966	0	0	-0	1.1413078269771721	FALSE	FALSE	FALSE	FALSE
FOXP3	0.28844352679704954	0.05749316184723226	0.1912480480131806	0.3808532261635468	0.2192654239459394	0.2052397739959978	-0.12743875167184515	-0.01889361971221724	0	0	0	0	FALSE	FALSE	FALSE	FALSE
GABPA	-0.25936612395100245	-0.23796648049460745	-0.10232192630038864	-0.6585720637253907	0.1560324631145562	-0.03490144345773816	-0.3056079944792507	0.012692723865411686	0	0	0.8971337917985949	-0.9225615666932477	FALSE	FALSE	FALSE	FALSE
GATA1	-0.15117510746159696	-0.5583704273007183	0.00716575194075423	0.459336390848735	0.3946697507539696	0.2706580699274408	-0.12166371633955672	0.266262400063404	0	0	0	0	FALSE	FALSE	FALSE	FALSE
GATA2	0.14791348100954255	0.2654382932995297	-0.03513841750283183	-0.3835699987932787	0.24576776460402697	0.541765241175213	-0.31305747656122146	27.72420049998156	0	0	5.587961945051844	-0.2853381128285185	FALSE	FALSE	TRUE	FALSE
GATA3	-0.5029722524708028	-1.0674879065258518	0.09850118634833648	-0.8924243098863026	0.08219767783721832	0.36903582767377013	-0.03259951291935803	0.0016497246122038906	0	0	0.8355764820539155	3.590634645187563	FALSE	FALSE	FALSE	FALSE
GATA4	0.19338770628496477	0.263492153005777	0.2659954067634957	-0.3822469045858506	0.3941225303902636	0.23924632065007684	-0.02092225518283491	0.3093188029176645	0	0	0	0	FALSE	FALSE	FALSE	FALSE
GATA6	-1.9071189073693449	-1.7088836428589842	-0.05231554074617278	2.7332833210460232	0.21991932656240376	-0.09715953573921388	-0.218199366280029	0.14854945813114684	0	0	0.7913756194760566	3.639615516004552	FALSE	FALSE	FALSE	FALSE
